Name	Program 1	Program 2	Program 3	Program 4	Interests
"Gillanders, Will"	Cancer Biology	Immunology			"Our laboratory is focused on the immunologic intervention to cancer via vaccine development. We are also characterizing the biology of the cell adhesion molecule, EpCAM. EpCAM is overexpressed in breast cancer and this overexpression correlates with poor prognosis. We are interested in the molecular controls that regulate EpCAM expression in breast cancer. Our studies have also identified the role EpCAM has in breast cancer invasion and we are further characterizing the biological signaling of EpCAM in human breast cancer."
"Glasser, Matthew"	Biomedical Informatics and Data Science	Neurosciences			"Dr. GlasserÕs research focuses on developing new brain imaging preprocessing and analysis methods and applying them to solve important neuroanatomical problems. Together these contributions comprise the core of the Human Connectome ProjectÕs approach to brain imaging acquisition, analysis, and data sharing, and they enabled the generation of a new multi-modal map of the human cerebral cortex.Ê Current work focuses on developing and validating multi-modal non-invasive MRI-based imaging data phenotypes, including architectural measures such as myelination, functional measures such as fMRI activation, structural and functional connectivity, and perfusion measures from arterial spin labeling to study brain aging in healthy adults using a longitudinal design. Other work explores individual variability in human brain areas in an effort to better understand inter-individual differences. My long-term research focus is to bring connectome-style methods to bear on clinical problems while continuing to address outstanding methodological and neuroanatomical issues in brain imaging. As a neuroradiologist, I see my primary role as providing imaging expertise to other clinicians to help them address clinical problems and to maximize their chance for success by using the best brain imaging methods available.
Lab website"
"Goldberg, Daniel"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"Interested in the biology of malaria and in developing new drugs for malaria. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Goldfarb, Dennis"	"Biochemistry, Biophysics, and Structural Biology"	Biomedical Informatics and Data Science	Computational and Systems Biology		"Research in the Goldfarb lab focuses on computational mass spectrometry, proteomics, and their applications in biology. His lab develops open-source solutions for novel data acquisition strategies, data analysis, and visualization tailored to the unique challenges of each experiment. Dr. Goldfarb aims to increase the throughput and reproducibility of large-scale projects with automated pipelines that leverage high-performance computing. Recently his research has concentrated on instrumentation, protein complex identification, and de novo peptide sequencing. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Goldsmith, Matthew"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics			"Endothelium and growth control 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Gomez, Felicia"	Biomedical Informatics and Data Science	Cancer Biology	Molecular Genetics and Genomics		I study somatic variation in lymphomas
"Gomez-Lopez, Nardhy"	Computational and Systems Biology	Immunology	Molecular Cell Biology		"Maternal-Fetal ImmunologyImmunology of pregnancy Placental ImmunologyNeonatal ImmunologyÊ
Lab Website"
"Gonzalez-Perez, Vivian"	Molecular Cell Biology	Neurosciences			"Research in the Gonzalez-Perez lab is aimed to understand the molecular and cellular mechanisms whereby membrane proteins, particularly ion channels and receptors, mediate host defense in neural and epithelial cells in the contexts of homeostasis and inflammation. Our research is currently focused on studying the role of the calcium and voltage-activated potassium channels (BK) in intestinal epithelial (patho)physiology, and in neuroinflammation. We employ an approach that combines the use of several KO mouse models, mouse or human organoids, and heterologous expression system to perform patch clamp electrophysiology, molecular biology, biochemical methods, live-tissue imaging, and behavioral assays. At present, the lab research program consists of two lines seeking to understand: 
1) The protective effects of BK channels containing the regulatory subunit LRRC26 against intestinal inflammation.2) The contribution of BK channels to opioid-induced hyperalgesia and chronic pain.Ê"
"Goodhill, Geoffrey"	Computational and Systems Biology	"Developmental, Regenerative and Stem Cell Biology"	Neurosciences		"My overall goal is to understand the computational principles that underly brain development, using a combination of experimental and theoretical approaches. Previously I have studied how growing nerve fibers detect and respond to molecular gradients to find their targets, and how visual experience affects the development of maps in the developing brain. Currently we are using the larval zebrafish as a model to understand the links between the development of patterns of brain activity and complex behaviors and how the development of brain and behavior is altered in Autism Spectrum Disorders."
"Goodwin, Matthew"	Cancer Biology	Molecular Cell Biology	Molecular Genetics and Genomics		"My research and clinical interests both center around metabolism and tumor metabolism. Specifically, I am interested in the role of lactate and other metabolites in the tumor microenvironment, as well as how we might target these. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Gordon, Brian"	Biomedical Informatics and Data Science	Neurosciences			"Broadly, my work stands at the intersection of the Departments of Radiology, Neurology, and Psychological & Brain Sciences. My research takes an integrative cognitive neuroscience perspective to understand healthy aging as well as neurodegenerative disorders, with a focus on Alzheimer's disease. My lab integrates neuroimaging (e.g. MRI and PET), cognitive testing, as well as fluid biomarkers (i.e. CSF and blood) to explore the biology of the brain. I also have an interest in understanding how the spatial presentations of neurodegenerative diseases are constrained by the underlying patterns of connectivity and the genetic architecture of the brain.
Lab WebsitePsychological and Brain Sciences"
"Gordon, Evan"	Neurosciences				"Dr. GordonÕs research focuses on the noninvasive identification and characterization of functional brain units within individual human brains. This work aims to develop techniques that can precisely describe the detailed organization of the individual human brain, to understand how individuals can vary from each other in their brain organization, and to understand how that variable organization is related to motor, sensory, and cognitive function. This research is conducted using a variety of neuroimaging techniques, including structural and functional magnetic resonance imaging (MRI), as well as diffusion tensor imaging (DTI). The ultimate goal of Dr. GordonÕs work is to use these precise, individual-specific characterizations to 1) help improve diagnostic and prognostic accuracy of neurological disorders, particularly traumatic brain injury; and 2) improve the efficacy of brain stimulation-based interventions such as deep brain stimulation and transcranial magnetic stimulation.
Lab Website"
"Gordon, Jeffrey"	Computational and Systems Biology	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"Mutually beneficial relationships between microbes and animals are a pervasive feature of life on our microbe-dominated planet. We are no exception: the total number of microbes that colonize our body surfaces exceeds our total number of somatic and germ cells by 10-fold. The majority of our symbionts reside in our intestines (10-100 trillion!), where they provide us with traits we have not had to evolve on our own. In this sense, we should view ourselves as a composite of bacterial, archaeal and human cells, our genetic landscape as a summation of the genes embedded in our own human genome and the genes embedded in the genomes (ÔmicrobiomeÕ) of our microbial partners, and our metabolic features as an amalgamation of human and microbial attributes. We are interested in the following questions: What are the genomic and metabolic foundations of our mutually beneficial relationships with gut microbes? How do we acquire our microbiota and microbiome? How much diversity is there in our microbiomes: do all humans share an identifiable ÔcoreÕ microbiome? How is the human microbiome evolving as a function of our changing diets, lifestyle, and biosphere? How does it contribute to health and our predispositions to various diseases? How can we intentionally manipulate our microbial communities to optimize their performance in the context of an individual, or a population? To address these questions, we are sequencing the genomes of 100 representative members of the human gut microbiota so that we can make predictions about what attributes they possess and what contributions they make to their microbial communities and hosts. We use germ-free normal and genetically engineered mice, colonized with defined collections of sequenced wild-type (or mutant) bacteria and archaea that normally reside in the human gut, to simultaneously monitor host and microbial responses to colonization. We employ a variety of experimental and computational techniques, including metagenomics (sequencing whole microbial community DNA to define its gene content), functional genomics, and mass-spec-based metabolomics, so that we can compare and contrast the composition of the gut microbial community and its microbiome in normal mice and mice that serve as models for common human diseases. We are taking the insights we glean from mouse models and validating them in humans, including mono- and dizygotic twin pairs and their mothers and siblings. One key issue we are addressing is whether differences in our gut microbial ecology affect our pre-disposition to obesity or malnutrition. These latter studies involve humans living in developing countries located in various parts of the world. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Goyal, Manu"	Neurosciences				"Manu S. Goyal, MD, MSc. is a neuroradiologist in the Mallinckrodt Institute of Radiology, double board-certified in neurology and radiology. His research is similarly integrative as it strives to combine imaging, genomic, and metabolomic approaches to investigations in the human brain.  His prior work, with Professor Marcus Raichle, found that aerobic glycolysis, a form of metabolism typical of cancer, is also typical of the brain during childhood. Further, they found that its persistence in certain regions of the adult brain is related to ongoing synaptic plasticity and myelination. Dr. Goyal now plans to develop an integrated omics approach to studying the human brain, and use this to more fully understand brain metabolism in the context of normal function, development, and recovery from brain injury such as stroke.                   "
"Grant, Gregory"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology			"My main research interest is in the area of allosteric control of enzyme mediated physiological processes. A major emphasis is in control mechanisms of amino acid metabolism in Mycobacterium tuberculosis. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Green, Abby"	Cancer Biology	Molecular Cell Biology	Molecular Genetics and Genomics		"Overview:
Cancer develops through accumulation of DNA mutations and structural aberrations collectively known as genome instability. Genome damage in adult-onset malignancies can be traced to exogenous carcinogens or simply the process of aging. However, pediatric cancers do not arise as a result of aging or exogenous genotoxic agents. We are interested in the etiology of genome instability in pediatric cancers and the resulting genome-protective responses, also called DNA damage responses, that are activated. Our long-term goal is to identify factors within DNA damage response signaling pathways that represent therapeutic vulnerabilities in order to develop new treatment options for children with cancer.

Our current investigations are centered around two etiologies of endogenous DNA damage in leukemia: (1) APOBEC3 enzymes, DNA cytosine deaminases that are expressed at high levels in acute myeloid leukemia, and (2) MLL (KMT2A) gene rearrangements that drive infant acute lymphoblastic leukemia.

Projects:
1. Functional whole-genome knock out screen to evaluate synthetic lethality with APOBEC3A expression in leukemia. 
2. Impact of APOBEC3A on DNA replication.
3. DNA damage responses elicited by MLL gene rearrangements in infant leukemia.
4. Impact of APOBEC3 enzymes on normal and malignant hematopoiesis. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Greenberg, Michael"	"Biochemistry, Biophysics, and Structural Biology"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"The Greenberg lab focuses on how cytoskeletal motors function in both health and disease. Currently, the lab is studying mutations that cause familial cardiomyopathies, the leading cause of sudden cardiac death in people under 30 years old. The lab uses an array of biochemical, biophysical, and cell biological techniques to decipher how these mutations affect heart contraction from the level of single molecules to the level of engineered tissues. We are also interesting in designing new in vitro disease models. Insights into the disease pathogenesis will guide efforts to develop novel therapies. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Greer, Eric"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"The Greer lab is interested in how non-genetic information, termed epigenetics, regulates complex physiological and pathological phenotypes across generations.The rapidly expanding field of epigenetics describes how gene expression changes occur without changes to the DNA sequence. Proteins, RNA molecules, or chemical modifications to histones or DNA can induce these epigenetic changes. Epigenetic information regulates an increasing number of complex phenotypes, such as physical appearance, energy metabolism, psychological state, and longevity. How this epigenetic information is regulated, how it instructs biological outcomes, and how this epigenetic information can be passed from generation to generation remain unknown.Understanding the molecular determinants of stable epigenetic memory will provide insight into how environmental changes can affect the health and lifespan of not only the individual who experiences them, but also of their progeny. A central goal of our lab is to identify epigenetic inheritance phenotypes and elucidate the mechanisms behind their transmission across generations. We also aim to understand how dysregulation of epigenetic mechanisms cause developmental defects and diseases.Ê
Lab website"
"Griffith, Malachi"	Biomedical Informatics and Data Science	Cancer Biology	Computational and Systems Biology		"The development of genomics, bioinformatics and statistical methods as they apply to the study of cancer biology and medicine. A particular focus on the translation of genomics data from whole genome, exome and transcriptome sequencing into clinically actionable observations and personalized cancer therapies. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Griffith, Obi"	Biomedical Informatics and Data Science	Cancer Biology	Immunology		"My research is focused on the development of personalized medicine strategies for cancer using genomic technologies with a particular focus on gene regulatory changes associated with breast cancer. I develop and uses bioinformatics and statistical methods for the analysis of high throughput sequence data and identification of biomarkers for diagnostic, prognostic and drug response prediction. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Gross, Michael"	"Biochemistry, Biophysics, and Structural Biology"				"Our principal research goal is to develop mass spectrometry (MS) instrumentation and methods for protein biophysics and structural proteomics. We wish to understand protein folding, to determine ligand binding sites, to quantify protein/ligand interactions, and to determine protein interfaces especially for systems involved in protein misfolding. Our goal is a ""tool box"" of various methods involving covalent footprinting of proteins (e.g., H/D amide exchange, reactive radical footprinting, and specific chemical reactions). We currently emphasize H/D exchange of proteins, as monitored by ESI, as an approach to understanding protein folding and interactions. ÊWe extended this by building a new method (PLIMSTEX) in which we use exchange and modeling to determine protein/ligand interactions. We also are investigating the reactions of OH and other radicals, generated with a short laser pulse, with proteins as a structural tool that is complementary to H/D exchange . We seek to discover new reactions for protein footprinting and to test applicability in problem solving. The instrumentation we use for this research are a Quadrupole/Time-of-Flight mass spectrometer, a 12-tesla FT-Ion Cyclotron Resonance mass spectrometer, an Orbitrap, and two 7-tesla FT ICR mass spectrometers. Analysis is by both ""bottom-up"" and ""top-down"" MS-based proteomics utilizing electrospray ionization, native spray, and high resolving power mass analyzers. ÊWe are also interested in developing Fourier transform mass spectrometry by implementing new ion-trapping methods and electrically compensated cells to afford improvements in mass resolving power, mass measurement, and ability to store, manipulate, and react biomolecule ions and reactive species. Our laboratory is also a NIH research resource commissioned to provide collaboration and service in mass spectrometry including molecular weight measurement, accurate mass measurement, tandem mass spectrometry experiments, and proteomics. We seek collaborations particularly in the area of biophysical properties of proteins and top-down protein sequencing."
"Gross, Richard"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology			Our research is focused on the chemical biology of membranes in health and disease. Biologic membranes are comprised of a structurally diverse array of thousands of distinct chemical entities in a bilayer configuration that are in constant motion providing a rich repertoire of chemical forces that can be used to modulate the conformation and function of transmembrane proteins such as ion channels and ion pumps. Through adaptation of a bilayer structure membranes serve as a hydrophobic scaffold for the organization of complex supramolecular chemical assemblies that are used in biologic systems as signaling platforms. 
"Gu, Charles"	Biomedical Informatics and Data Science	Computational and Systems Biology	Human and Statistical Genetics		"My current research focuses on two areas of genetic epidemiology and statistical human genetics. The first is the development and application of new statistical methods and bioinformatic tools to deal with high-dimensional data in genetic studies of complex human traits. Interests include machine learning techniques and fast and reliable discovery of important gene-gene and gene-environment interactions in high-throughput genetic studies of complex diseases.  The second area is conducting real-world genetic studies on common human disease using the latest biotechnologies and most advanced analytical designs. Specific disease areas of interest include hypertension, hypertensive heart disease and cardiovascular diseases in general, obesity and metabolic syndrome, and kidney diseases."
"Guilak, Farshid"	"Developmental, Regenerative and Stem Cell Biology"	Immunology	Molecular Cell Biology		"research primarily focuses on the regenerative medicine approaches to treat osteoarthritis, a painful and debilitating disease of the joints.  His laboratory has used a multidisciplinary approach to investigate the role of biomechanical factors in the onset and progression of osteoarthritis, as a basis for the development of new pharmacologic and stem-cell therapies. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Gurnett, Christina"	Molecular Genetics and Genomics				"Our major research interest is the genetic basis of musculoskeletal diseases affecting children, including clubfoot and scoliosis.  We utilize genome wide linkage analysis to identify disease loci in large families, and then employ association analysis to identify genetic susceptibility factors.  Animal models of congenital limb anomalies are also being developed based on the discovery of genes involved in human disease.  Additional areas of interest are in the genetics of epilepsy, sleepwalking, and multiple sclerosis. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Gutmann, David"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics		"The development and maintenance of the mammalian nervous system is regulated by a highly orchestrated series of cellular and molecular events. When these processes become disrupted by genetic mutation, disorders of the brain and nerves arise. One of the most common of these neurogenetic disorders is Neurofibromatosis type 1 (NF1), in which children are at risk for brain and nerve tumors, vision loss, learning problems, autism, and developmental disabilities.For the past 25 years, the Gutmann laboratory has focused on discovering the genomic, genetic, cellular and molecular determinants that cause nervous system dysfunction in people with NF1 using a combination of novel genetically engineered mice and human induced pluripotent stem cells. The goal of this work is not only to establish new treatments for individuals with NF1, but also to better understand similar medical problems in the general population. Moreover, as a neurologist who cares for children and adults with NF1, Dr. Gutmann seeks to identify the factors that underlie nervous system disease heterogeneity relevant to the implementation of precision (personalized) medicine strategies. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Halabi, Carmen"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology	Molecular Genetics and Genomics		"Our lab's overall focus is to understand how mutations in extracellular matrix genes lead to abnormal vascular development and disease.  Similar to humans with cutis laxa caused by mutations in the extracellular matrix gene Fibulin-4; mice carrying mutations in Fibulin-4 develop aortic aneurysms and arterial tortuosity thought to be related to abnormal elastic fiber formation.  Examination of the vasculature in this model showed surprising and previously unrecognized differences in the development of large conduit arteries versus small resistance arteries where elastic fibers of large conduit arteries were fragmented and disorganized, while those of small arteries muscular arteries were intact, suggesting that the process of elastic fiber assembly differs along the vascular tree.  The aims of our lab are to understand the mechanisms by which mutations in Fibulin-4 lead to aneurysm development and to investigate differences in the development of small versus large arteries. "
"Hall, Kathleen"	"Biochemistry, Biophysics, and Structural Biology"				"I am interested in RNA binding to proteins and the mechanisms of this molecular recognition. 
Lab Website"
"Hallahan, Dennis"	Cancer Biology	Molecular Cell Biology			"Dennis Hallahan, MD has 20+ years of uninterrupted NCI/NIH funding. The Hallahan laboratory has discovered several molecular targets for drug development in cancer. Discovery strategies have included Proteomics and lipidomics. These discoveries have gone on to preclinical and clinical drug development of a number of novel cancer drugs.  Most notable are inhibitors of PLA2 and the LPA receptor. More recently, the Hallahan laboratory has identified TIP1 and GRP78 as molecular targets to enhance the efficacy of radiation therapy. Dr. HallahanÕs lab has developed monoclonal antibodies and scFv antibodies to radiation inducible neoantigens that are specific to cancer. These antibodies activate immune effector cells. They have also been conjugated to therapeutic agents such as radiopharmaceuticals. More importantly, antibodies to radiation inducible TIP1 and GRP78 show efficacy in mouse models of human cancer. The Hallahan laboratory has developed several drug delivery systems using nanoparticles and liposomes. These particles have been conjugated to peptide ligands that bind to radiation inducible receptors in cancer. This approach has increased the bioavailability of doxorubicin and paclitaxel specifically to cancer. Pre-clinical efficacy and proof of concept studies have been completed. Current research combines our lead cancer specific ligand conjugated to PEG in liposomal formulation. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Haller, Gabriel"	Computational and Systems Biology	Human and Statistical Genetics	Molecular Genetics and Genomics		"My goal is to identify genetic variants associated with nicotine dependence in human populations. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Han, Claudia"	"Developmental, Regenerative and Stem Cell Biology"	Immunology	Molecular Genetics and Genomics		"Microglia are resident macrophages of the brain that engage in a variety of processes essential for brain development and homeostasis. Microglia dysfunction (e.g., dysregulation of target uptake, synaptic pruning, proinflammatory cytokine production) contributes to the pathogenesis of neurodegenerative diseases including AlzheimerÕs Disease and neurodevelopmental conditions, such as Autism Spectrum Disorder. My lab is interested in the regulation of microglial phenotypes during development and in disease, and how alterations in microglia physiology impact neuronal circuitry and enhance the risk for neurological disorders, through the lens of epigenetics and transcriptomics.Ê
Lab Website"
"Han, Edward"	Neurosciences				"The long-term goal of the Han Lab is to understand and manipulate learning in the hippocampus, a brain area that is impaired in many neurodegenerative and cognitive disorders such as AlzheimerÕs disease. To accomplish this goal we use advanced optical imaging and electrophysiology methods to study neuronal activity in awake, behaving animals. One major line of research in the lab is studying learning-related neuronal activity using two-photon calcium imaging in animals performing a virtual reality behavioral task. This innovative approach allows us to probe neural circuit function from the level of proteins, to networks, to behavior, in real-time. A second major line of research is to apply this methodology to investigate the role of toxic protein aggregates associated with AlzheimerÕs disease on neuronal health and function.
                    "
"Han, Martha"	Neurosciences				"The nervous system translates sensory inputs into appropriate motor outputs. Although sensory inputs are processed in diverse and complex fashions, most of the results of their computations are eventually filtered through a shared end-point: the motor circuits of the spinal cord. The long term goal of our research is to address two major aspects of motor control:1) What is the structure of the spinal microcircuit, and what are the functional synaptic properties of its connections? How do these output circuits serve to combine behavioral modules for optimal movements?2) How do descending commands, especially those from the vestibular (balance) system, operate on spinal microcircuits to elicit behavior? 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Handley, Scott"	Computational and Systems Biology	Immunology	Molecular Microbiology and Microbial Pathogenesis		"I am interested in how the microbiome, including all of the bacteria, viruses and fungi that live in and on us contribute to health and disease. I have a particular focus on the microbiome in HIV and IBD."
"Harbison, Richard"	Computational and Systems Biology	Immunology			"Immunometabolism, Polyamine metabolism, Tumor ImmunologyRecurrent head and neck cancerÊ"
"Haroutounian, Simon"	Neurosciences				"Dr. Haroutounian's research is primarily focused on individualized  approach to the treatment and prevention of chronic pain, particularly neuropathic pain due to peripheral nerve injury or symmetric polyneuropathy.  We use translational approach to investigate clinically-relevant mechanisms in chronic pain and to identify factors that can predict individual's susceptibility to develop chronic pain, and their response to pharmacotherapy.  As the continuum of the translational approach, we are interested in improving the methodology of assessment and monitoring of patient-reported outcomes in pain. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Hart, Robert"	"Evolution, Ecology and Population Biology"				"I research the ecology and ethnobotany of mountain ecosystems, particularly their responses to climate change through changes in spatial and temporal distributions along gradients of elevation and seasonal phenology. Much of my current work centers on a Himalayan subnetwork of plots within the Global Observation Research Initiative in Alpine Environments (GLORIA) network. In this subnetwork, my colleagues and I monitor dynamics of and connections between vegetation, climate and ethnobotanical practice. I also work within the broader global GLORIA network and with colleagues outside the network to ask whether there are generalizable patterns in vegetation response to climate change across mountains environments, or whether these patterns are overwhelmed by regional contingencies.
My primary appointment is as Director of the Missouri Botanical GardenÕs William L. Brown Center (WLBC), which is dedicated to the study of useful plants, understanding the relationships between humans, Êplants, and their environment, the conservation of plant species, and the preservation of traditional knowledge for the benefit of future generations. In this capacity, IÕm especially interested in the position of mountains to humans as concentrations of unique natural resources, barriers, and areas of cultural contact. More broadly, I also work to further quantitative methods for analysis of ethnobotany and local ecological knowledge, primarily drawing data from montane and alpine environments. I also collaborate with other scholars within the WLBC who study other facets ethnobotany and economic botany, including plant natural products, community led conservation, and the evolution of crop diversity."
"Haspel, Jeffrey"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"We are interested in why patients with severe sepsis develop cellular changes that suggest a failure of cellular housekeeping, which might explain why organ failure ensues in these individuals.  A major hypothesis of the lab is that autophagy, a catabolic mechanism involving lysosomal degradation becomes reprogrammed during sepsis and contributes to the changes in cellular composition.  An unexpected finding is that autophagy is powerfully influenced by circadian rhythms.  Our research seeks to understand the connection between circadian disruption during sepsis and the reprogramming of autophagy.  We hope this research will lead to better functional recoveries after critical illness.  We particularly focus on lung injury using animal models and are in the process of extending our observations to blood samples from critically ill patients."
"Head, Denise"	Neurosciences				"The broad focus of my research program is the exploration of the constellation of age-related cognitive changes and their relations with brain structure.ÊThere are three primary threads within this overarching theme.ÊFor one line of research, the focus is on characterizing the nature of aging effects on cognitive functioning with consideration of the accompanying brain changes, with both normal and pathological aging (i.e., Alzheimer disease) examined.ÊMy lab has been specifically examining effects on spatial navigation, using both virtual-reality and real-world experimentation as well as mobile eye-tracking and experience sampling. The second major concentration involves examination of moderators and mediators of cognitive and brain aging, including factors such as exercise, cardiovascular health, sleep characteristics, stress and personality. The third component of my research program entails consideration of methods to support effective spatial navigation in older adults. The underlying object of all of these research lines is to gain a greater understanding of cognitive aging, the contributing factors and effective intervention. ÊÊ"
"Heath, Andrew"	Biomedical Informatics and Data Science	"Evolution, Ecology and Population Biology"	Human and Statistical Genetics		"Multi-disciplinary research on the etiology of alcoholism, obesity, tobacco dependence and illicit drug dependence.  Director of the Alcoholism Research Center at Washington University. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Heemstra, Jennifer"	"Biochemistry, Biophysics, and Structural Biology"				"Nucleic acids are exquisitely adept at molecular recognition and self-assembly, enabling them to direct numerous key processes that make life possible. These capabilities have been fine-tuned by billions of years of evolution and have been harnessed in the laboratory to enable the use of DNA and RNA for applications beyond their canonical biological roles. The common thread that is woven throughout the research projects in the Heemstra Lab is the utilization of nucleic acid molecular recognition and self-assembly to generate functional architectures for biosensing and bioimaging.
Lab Website"
"Held, Jason"	"Biochemistry, Biophysics, and Structural Biology"	Biomedical Informatics and Data Science	Cancer Biology		"Investigating the role of cysteine oxidation and redox biology in cell signaling and disease; Analysis of protein posttranslational modifications in cellular function 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Henderson, Jeffrey"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Microbiology and Microbial Pathogenesis			"The Henderson laboratory uses interdisciplinary approaches to better understand infection pathogenesis and to identify new diagnostic and therapeutic strategies. To do this, we combine patient-oriented studies with new biochemical approaches to identify how virulence-associated bacterial pathogens cause disease. Guided by these results, we seek a mechanistic understanding of infection physiology. Of particular interest are the multifunctional roles of small molecules associated with iron scavenging Ð called siderophores. New properties and host interactions have been identified for bacterial siderophores using a combination of biochemical and pathophysiologic approaches including mass spectrometry-based metabolomics, bacterial genetics, protein chemistry, and infection models.
Lab Website"
"Hengen, Keith"	Computational and Systems Biology	Molecular Cell Biology	Neurosciences		"Our research is divided into two separate but related streams. The firstÊgoal is to understand how neural networks generate reliable function,Êcognition, and behavior. We seek to address the following questions: doÊnetworks of neurons self-organize to an optimal computational regime?ÊWhat are the genes, cell-types, and mechanisms that, when distributed inÊa large network, promote stable computation? How does behaviorÊinfluence the expression of these mechanisms? Do the latent spacesÊunderlying network dynamics change with time? and, how do individualÊneurons contribute to complex and variable behavior across a lifetime?
In parallel, we are exploring systems-level explanations of neurologicalÊdisease. At the root of any disease is a failure of stabilizingÊmechanisms to assert healthy patterns. Traditionally, these failures areÊviewed through a highly reductionist lens: genes and proteins are theÊusual suspects. However, these explanations have little space for theÊrole of environment and experience. We are combining theoreticalÊphysics, applied math, and systems biology to test novel explanationsÊand interventions in neurodegeneration and psychiatric disorders.
Lab Website"
"Herrlich, Andreas"	Molecular Cell Biology				"The Herrlich Lab has a broad interest in Interorgan communication mechanisms in Health and Disease. Our current work focuses on the role of remote inflammation in secondary organ complications in kidney disease in the kidney-heart, kidney-lung, and kidney-brain axis. In particular, we are interested in how tissue injury in the kidney induces remote inflammation in secondary organs and how this influences organ function, immune memory and response to further direct injury in the secondary organ.Background: The foundation of organismal physiology is that organs ÒtalkÓ to each other in order to establish and maintain homeostasis of the organism. In recent decades, genetics and other studies in model organisms have revealed the existence of novel unanticipated interorgan communication networks (ICNs) as the bases of physiological functions, for example between the kidney, gut, brain, liver, and muscle. These ICNs can be of endocrine and/or neuronal nature, and also involve neuroimmune and neuroendocrine interactions. These novel findings challenged the previously siloed organ-centric view in the study of most physiological functions in mammals, and provided novel understanding of the pathogenesis of crippling acute as well as chronic diseases that are common and represent current major public health challenges. Diseases that seemingly affect one organ but are in fact caused in large part by disruption of regulations occurring outside this organ, so-called secondary organ complications, include for example diseases like diabetes, cardiovascular disease, acute and chronic kidney disease, gastro-intestinal disorders, cancer and metastases, muscle wasting, and age-related memory loss, among many others. It is these secondary organ complications that drive most of the morbidity and mortality. Interorgan communication networks that drive secondary organ complications in complex diseases remain largely unknown. The Herrlich Lab identified an immune-regulatory molecule, circulating osteopontin, that is released by the injured kidney and causes remote lung inflammation with respiratory failure (https://www.science.org/doi/10.1126/sciadv.abm5900).Ê
Lab Website"
"Hershey, Tamara"	Neurosciences				"My interests fall within the domain of clinical and cognitive neuroscience. I have two major lines of research. One addresses the neural underpinnings of cognitive and mood dysfunction in diseases relevant to dopamine and the basal ganglia-thalamocortical pathways such as Parkinson disease, Tourette syndrome and essential tremor. The other addresses the effects of type 1 and type 2 diabetes on brain structure and function, particularly during development.  Results from both lines of research have clinical and theoretical implications. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Herzog, Erik"	Biomedical Informatics and Data Science	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"Our laboratory studies the cellular and molecular bases for circadian rhythms in mammals. We seek to understand the roles of defined brain regions and classes of neurons and glia in the generation and coordination of circadian rhythms in physiology and behavior. Among our objectives, we aim to identify pacemaking cells, the mechanisms that synchronize their activities to each other, and the the signals they use to communicate time-of-day information to the rest of the brain and body. We take advantage of long-term, real-time recording technologies including multimicroelectrode arrays to monitor neuronal firing patterns, bioluminescence imaging of gene expression, and novel behavioral assays. Some of our findings may have relevance to causes of and treatments for mood disorders and pediatric brain cancers."
